date,ibov,mcs,spx
31dec1993,,3804.02,466.45
01jan1994,,,
02jan1994,,,
03jan1994,380.09,3804.61,465.44
04jan1994,400.54,3852.31,466.89
05jan1994,421.04,3852.31,467.55
06jan1994,444.17,3857.46,467.12
07jan1994,476.39,3893.39,469.9
08jan1994,,,
09jan1994,,,
10jan1994,495.39,3924.37,475.27
11jan1994,501.41,,474.13
12jan1994,536.43,3925.45,474.17
13jan1994,561.65,3935.97,472.47
14jan1994,551.06,3937.53,474.91
15jan1994,,,
16jan1994,,,
17jan1994,598.05,3955.13,473.3
18jan1994,605.71,3966.01,474.25
19jan1994,642.02,3975.66,474.3
20jan1994,689.67,3966.96,474.98
21jan1994,689.17,3968.01,474.72
22jan1994,,,
23jan1994,,,
24jan1994,689.56,3968.01,471.97
25jan1994,,3997.72,470.92
26jan1994,704.93,4008.2,473.2
27jan1994,684.49,4008.2,477.05
28jan1994,689.21,4011.67,478.7
29jan1994,,,
30jan1994,,,
31jan1994,740.55,4011.67,481.61
01feb1994,826.86,4037.18,479.62
02feb1994,823.05,4051.01,482
03feb1994,798.35,4075.98,480.71
04feb1994,821.28,4099.7,469.81
05feb1994,,,
06feb1994,,,
07feb1994,848.72,4100.72,471.76
08feb1994,887.98,4112.8,471.05
09feb1994,904.66,4112.8,472.77
10feb1994,1000.9,4108.19,468.93
11feb1994,1035.4,4140.04,470.18
12feb1994,,,
13feb1994,,,
14feb1994,,4143.18,470.23
15feb1994,,4145.59,472.52
16feb1994,1035.4,4180.69,472.79
17feb1994,1040.9,4198.15,470.34
18feb1994,944.8,4212.61,467.69
19feb1994,,,
20feb1994,,,
21feb1994,928.5,4210.82,
22feb1994,1053.6,4212.61,471.46
23feb1994,1063,4235.26,470.69
24feb1994,997.9,4263.91,464.26
25feb1994,1008.3,4265.69,466.07
26feb1994,,,
27feb1994,,,
28feb1994,1053.8,4273.24,467.14
01mar1994,1073.3,4276.38,464.44
02mar1994,1021.4,4301.05,464.81
03mar1994,1045.7,,463.01
04mar1994,1114,,464.74
05mar1994,,,
06mar1994,,,
07mar1994,1193.9,4306.23,466.91
08mar1994,1204.5,4302.32,465.88
09mar1994,1260.2,4324.69,467.06
10mar1994,1266.9,4320,463.9
11mar1994,1268.7,4312.46,466.44
12mar1994,,,
13mar1994,,,
14mar1994,1329.6,,467.39
15mar1994,1350.9,,467.01
16mar1994,1408.4,4320.98,469.42
17mar1994,1393.7,4320.98,470.9
18mar1994,1331.8,4321.3,471.06
19mar1994,,,
20mar1994,,,
21mar1994,1270.8,4317.39,468.54
22mar1994,1353.5,4317.39,468.8
23mar1994,1415.7,4317.99,468.54
24mar1994,1376.6,4336.37,464.35
25mar1994,1459,4320.37,460.58
26mar1994,,,
27mar1994,,,
28mar1994,1469.2,4320.97,460
29mar1994,1440.7,4317.06,452.48
30mar1994,1515.5,4355.69,445.55
31mar1994,,4355.69,445.77
01apr1994,,4355.83,
02apr1994,,,
03apr1994,,,
04apr1994,1355,4354.64,438.92
05apr1994,1427.9,4354.9,448.29
06apr1994,1435.5,4474.18,448.05
07apr1994,1474.8,4473.59,450.88
08apr1994,1537.4,4470.27,447.1
09apr1994,,,
10apr1994,,,
11apr1994,1659.5,4461.46,449.87
12apr1994,1648.8,4470.5,447.57
13apr1994,1552.7,4470.5,446.26
14apr1994,1506.2,4486.35,446.38
15apr1994,1443.4,4494.76,446.18
16apr1994,,,
17apr1994,,,
18apr1994,1401.1,4504.68,442.46
19apr1994,1345.6,4486.29,442.54
20apr1994,1283.8,4497.35,441.96
21apr1994,,4523.56,448.73
22apr1994,1420.2,4531.47,447.63
23apr1994,,,
24apr1994,,,
25apr1994,1551.6,4531.34,452.71
26apr1994,1583.8,4558.05,451.87
27apr1994,1605.1,4579.26,
28apr1994,1672.7,4580.15,449.1
29apr1994,1708.4,4584.29,450.91
30apr1994,,,
01may1994,,,
02may1994,1725.6,4574.86,453.02
03may1994,1648.3,4590.83,453.03
04may1994,1573.8,4558.5,451.72
05may1994,1447.8,4573.73,451.38
06may1994,1510.3,4573.37,447.82
07may1994,,,
08may1994,,,
09may1994,1421.7,4573.37,442.32
10may1994,1547.9,4761.61,446.01
11may1994,1546,4767.37,441.49
12may1994,1637.8,4801.31,443.75
13may1994,1585.8,4802.31,444.14
14may1994,,,
15may1994,,,
16may1994,1562.6,4810.03,444.49
17may1994,1648.3,4812.76,449.37
18may1994,1790.9,4812.62,453.69
19may1994,2008.4,4810.3,456.48
20may1994,2031.7,4812.61,454.92
21may1994,,,
22may1994,,,
23may1994,2096.2,,453.2
24may1994,2127.7,4809.82,454.81
25may1994,2301.7,4813.91,456.34
26may1994,2342.1,4810.26,457.06
27may1994,2349.4,4779.8,457.33
28may1994,,,
29may1994,,,
30may1994,2428.4,4796.28,
31may1994,2467.2,4795.91,456.5
01jun1994,2526.4,4795.91,457.63
02jun1994,,4808.9,457.65
03jun1994,2695.9,4854.63,460.13
04jun1994,,,
05jun1994,,,
06jun1994,2908.6,4872.2,458.88
07jun1994,2920.5,4860.32,458.21
08jun1994,2821.8,4850.94,457.06
09jun1994,2932.4,4850.94,457.86
10jun1994,3020.4,4861.62,458.67
11jun1994,,,
12jun1994,,,
13jun1994,2946.9,4873.86,459.1
14jun1994,3017.3,4881.59,462.37
15jun1994,3069.7,4876.19,460.61
16jun1994,3033.8,4876.19,461.93
17jun1994,3237.6,4876.19,458.45
18jun1994,,,
19jun1994,,,
20jun1994,3237.8,4877.18,455.48
21jun1994,3127.6,4855.89,451.34
22jun1994,3198.5,4882.3,453.09
23jun1994,,4875.09,449.63
24jun1994,3109.6,4869.24,442.8
25jun1994,,,
26jun1994,,,
27jun1994,3372.1,4880.39,447.31
28jun1994,3563.5,4898.22,446.07
29jun1994,3828.3,4892.46,447.63
30jun1994,3623.1,4871.11,444.27
01jul1994,,4873.45,446.2
02jul1994,,,
03jul1994,,,
04jul1994,3580.8,4874.07,
05jul1994,3564.3,4874.07,446.37
06jul1994,3753.5,4854.23,446.13
07jul1994,3904.9,4890.26,448.38
08jul1994,4051.9,4890.26,449.55
09jul1994,,,
10jul1994,,,
11jul1994,4010.8,4882.5,448.06
12jul1994,3919.7,4879.45,447.95
13jul1994,3840.8,4885.74,448.73
14jul1994,4016.5,4893.51,453.41
15jul1994,4079.9,4901.91,454.16
16jul1994,,,
17jul1994,,,
18jul1994,4045.3,4887.83,455.22
19jul1994,3874.6,4865.44,453.86
20jul1994,4038.6,4869.45,451.6
21jul1994,4018.4,4875.22,452.61
22jul1994,3986.6,4881.77,453.11
23jul1994,,,
24jul1994,,,
25jul1994,3993.9,4887.41,454.25
26jul1994,4077.2,4875.13,453.36
27jul1994,,4875.54,452.57
28jul1994,4255.3,4874.69,454.23
29jul1994,4201.3,4871.15,458.26
30jul1994,,,
31jul1994,,,
01aug1994,4152,4870.19,461.01
02aug1994,4310.7,4886.74,460.56
03aug1994,4392.1,4895.08,461.45
04aug1994,4354.9,4895.88,458.4
05aug1994,4469.5,4892.07,457.09
06aug1994,,,
07aug1994,,,
08aug1994,4580.9,4879.69,457.89
09aug1994,4558.2,4883.31,457.93
10aug1994,4513.2,4883.31,460.3
11aug1994,4463.7,4883.31,458.88
12aug1994,4547.1,4883.31,461.94
13aug1994,,,
14aug1994,,,
15aug1994,4651,4883.31,461.23
16aug1994,4744.1,4886.39,465.01
17aug1994,4968.9,4886.39,465.17
18aug1994,5026.5,4889.79,463.17
19aug1994,5138.2,4903.05,463.68
20aug1994,,,
21aug1994,,,
22aug1994,5385.8,,462.32
23aug1994,5303.9,4902.8,464.51
24aug1994,5207.7,4923.68,469.03
25aug1994,5354.6,4923.68,468.08
26aug1994,5214.3,4941,473.8
27aug1994,,,
28aug1994,,,
29aug1994,5323,4954.92,474.59
30aug1994,5379.6,4954.92,476.07
31aug1994,5329.4,4959.86,475.49
01sep1994,5436.9,4959.86,473.17
02sep1994,5367.4,4959.86,470.99
03sep1994,,,
04sep1994,,,
05sep1994,4804,5004.98,
06sep1994,4989.8,5004.44,471.86
07sep1994,,5015.83,470.96
08sep1994,5272.1,5017.27,473.14
09sep1994,5351.1,5017.59,468.18
10sep1994,,,
11sep1994,,,
12sep1994,5510.9,5020.25,466.21
13sep1994,5510.9,5028.26,467.51
14sep1994,5476.4,5038.62,468.8
15sep1994,5287.4,5037.84,474.81
16sep1994,5293.7,5067.75,471.19
17sep1994,,,
18sep1994,,,
19sep1994,5291.8,5069.09,470.85
20sep1994,5177.3,5068.32,463.36
21sep1994,5343.5,5070.97,461.46
22sep1994,5395.2,5118.31,461.27
23sep1994,5453.2,5129.48,459.67
24sep1994,,,
25sep1994,,,
26sep1994,5265,5129.77,460.82
27sep1994,5217.5,5130.31,462.05
28sep1994,5277,5135.1,464.84
29sep1994,5442.6,5135.2,462.24
30sep1994,5484,5149.01,462.69
01oct1994,,,
02oct1994,,,
03oct1994,,5157.96,461.74
04oct1994,5335.1,5162.82,454.59
05oct1994,5166.8,5168.03,453.52
06oct1994,4979.4,5169.21,452.36
07oct1994,4876.7,5169.21,455.1
08oct1994,,,
09oct1994,,,
10oct1994,5032.1,5160.16,459.04
11oct1994,4925.9,5159.67,465.79
12oct1994,,5159.67,465.47
13oct1994,4944.5,5158.25,467.77
14oct1994,4833.7,5158.25,469.1
15oct1994,,,
16oct1994,,,
17oct1994,4784.4,5158.35,468.96
18oct1994,4909.6,5152.27,467.66
19oct1994,4758.7,5151.85,470.28
20oct1994,4724.4,5153.16,466.85
21oct1994,4561.9,5153.16,464.89
22oct1994,,,
23oct1994,,,
24oct1994,4344,5153.7,460.83
